experiment,n,m,k,duration_ns,duration_ms
1,50000,1000,1,25253100,25.253100
1,50000,1000,2,19799600,19.799600
1,50000,1000,4,8895700,8.895700
1,50000,1000,6,8559200,8.559200
1,50000,1000,8,9042400,9.042400
1,50000,2000,1,24208800,24.208800
1,50000,2000,2,19359300,19.359300
1,50000,2000,4,18516300,18.516300
1,50000,2000,6,17371000,17.371000
1,50000,2000,8,17092300,17.092300
1,75000,1000,1,20913500,20.913500
1,75000,1000,2,14303800,14.303800
1,75000,1000,4,14543500,14.543500
1,75000,1000,6,16531100,16.531100
1,75000,1000,8,13193000,13.193000
1,75000,2000,1,35550900,35.550900
1,75000,2000,2,30273300,30.273300
1,75000,2000,4,26014900,26.014900
1,75000,2000,6,24408800,24.408800
1,75000,2000,8,25126200,25.126200
1,100000,1000,1,25252400,25.252400
1,100000,1000,2,19722800,19.722800
1,100000,1000,4,18689100,18.689100
1,100000,1000,6,17485000,17.485000
1,100000,1000,8,17833300,17.833300
1,100000,2000,1,50964700,50.964700
1,100000,2000,2,39064300,39.064300
1,100000,2000,4,42520300,42.520300
1,100000,2000,6,33476900,33.476900
1,100000,2000,8,33556500,33.556500
1,125000,1000,1,41561000,41.561000
1,125000,1000,2,24239000,24.239000
1,125000,1000,4,21119800,21.119800
1,125000,1000,6,23597700,23.597700
1,125000,1000,8,23200400,23.200400
1,125000,2000,1,60625800,60.625800
1,125000,2000,2,44758400,44.758400
1,125000,2000,4,44727300,44.727300
1,125000,2000,6,44442600,44.442600
1,125000,2000,8,45440900,45.440900
1,150000,1000,1,46499100,46.499100
1,150000,1000,2,28269400,28.269400
1,150000,1000,4,29808000,29.808000
1,150000,1000,6,28358900,28.358900
1,150000,1000,8,27611400,27.611400
1,150000,2000,1,69687400,69.687400
1,150000,2000,2,60539900,60.539900
1,150000,2000,4,52399600,52.399600
1,150000,2000,6,49995400,49.995400
1,150000,2000,8,47670200,47.670200
1,175000,1000,1,51141300,51.141300
1,175000,1000,2,35633200,35.633200
1,175000,1000,4,36017400,36.017400
1,175000,1000,6,30026700,30.026700
1,175000,1000,8,29966700,29.966700
1,175000,2000,1,81655200,81.655200
1,175000,2000,2,61167800,61.167800
1,175000,2000,4,60427600,60.427600
1,175000,2000,6,57412600,57.412600
1,175000,2000,8,56112100,56.112100
1,200000,1000,1,49721700,49.721700
1,200000,1000,2,44186100,44.186100
1,200000,1000,4,37472500,37.472500
1,200000,1000,6,33687200,33.687200
1,200000,1000,8,32633000,32.633000
1,200000,2000,1,94761800,94.761800
1,200000,2000,2,73875000,73.875000
1,200000,2000,4,76929900,76.929900
1,200000,2000,6,68787400,68.787400
1,200000,2000,8,71575600,71.575600
2,50000,1000,1,14283700,14.283700
2,50000,1000,2,10311200,10.311200
2,50000,1000,4,11825200,11.825200
2,50000,1000,6,8734600,8.734600
2,50000,1000,8,9192700,9.192700
2,50000,2000,1,24525200,24.525200
2,50000,2000,2,18053100,18.053100
2,50000,2000,4,16635900,16.635900
2,50000,2000,6,16086500,16.086500
2,50000,2000,8,16715000,16.715000
2,75000,1000,1,18303800,18.303800
2,75000,1000,2,13774400,13.774400
2,75000,1000,4,14175500,14.175500
2,75000,1000,6,12741500,12.741500
2,75000,1000,8,14267000,14.267000
2,75000,2000,1,38116400,38.116400
2,75000,2000,2,29267900,29.267900
2,75000,2000,4,24885800,24.885800
2,75000,2000,6,29326200,29.326200
2,75000,2000,8,24570600,24.570600
2,100000,1000,1,26346000,26.346000
2,100000,1000,2,18983000,18.983000
2,100000,1000,4,16346400,16.346400
2,100000,1000,6,16289500,16.289500
2,100000,1000,8,18567300,18.567300
2,100000,2000,1,51187500,51.187500
2,100000,2000,2,37786400,37.786400
2,100000,2000,4,33246500,33.246500
2,100000,2000,6,34929600,34.929600
2,100000,2000,8,35469900,35.469900
2,125000,1000,1,44652000,44.652000
2,125000,1000,2,23349400,23.349400
2,125000,1000,4,27920100,27.920100
2,125000,1000,6,24185000,24.185000
2,125000,1000,8,28218700,28.218700
2,125000,2000,1,68267400,68.267400
2,125000,2000,2,44736200,44.736200
2,125000,2000,4,44888700,44.888700
2,125000,2000,6,41320600,41.320600
2,125000,2000,8,40139800,40.139800
2,150000,1000,1,40038300,40.038300
2,150000,1000,2,31794600,31.794600
2,150000,1000,4,26352900,26.352900
2,150000,1000,6,29869400,29.869400
2,150000,1000,8,32855400,32.855400
2,150000,2000,1,90786300,90.786300
2,150000,2000,2,62201300,62.201300
2,150000,2000,4,57940200,57.940200
2,150000,2000,6,49816100,49.816100
2,150000,2000,8,50507100,50.507100
2,175000,1000,1,46617700,46.617700
2,175000,1000,2,38758900,38.758900
2,175000,1000,4,33450500,33.450500
2,175000,1000,6,32966300,32.966300
2,175000,1000,8,30703200,30.703200
2,175000,2000,1,96924100,96.924100
2,175000,2000,2,66865700,66.865700
2,175000,2000,4,59590400,59.590400
2,175000,2000,6,59049800,59.049800
2,175000,2000,8,60576600,60.576600
2,200000,1000,1,52072400,52.072400
2,200000,1000,2,41655600,41.655600
2,200000,1000,4,39993500,39.993500
2,200000,1000,6,34893500,34.893500
2,200000,1000,8,33677600,33.677600
2,200000,2000,1,95540300,95.540300
2,200000,2000,2,74959900,74.959900
2,200000,2000,4,76430000,76.430000
2,200000,2000,6,89332400,89.332400
2,200000,2000,8,70998700,70.998700
3,50000,1000,1,11556100,11.556100
3,50000,1000,2,11209000,11.209000
3,50000,1000,4,9047400,9.047400
3,50000,1000,6,9552800,9.552800
3,50000,1000,8,8813400,8.813400
3,50000,2000,1,24498900,24.498900
3,50000,2000,2,18251400,18.251400
3,50000,2000,4,21112200,21.112200
3,50000,2000,6,17798700,17.798700
3,50000,2000,8,17540400,17.540400
3,75000,1000,1,21271800,21.271800
3,75000,1000,2,14496800,14.496800
3,75000,1000,4,13198500,13.198500
3,75000,1000,6,12214100,12.214100
3,75000,1000,8,13395700,13.395700
3,75000,2000,1,42791700,42.791700
3,75000,2000,2,30318200,30.318200
3,75000,2000,4,27714300,27.714300
3,75000,2000,6,25798400,25.798400
3,75000,2000,8,25414000,25.414000
3,100000,1000,1,29778800,29.778800
3,100000,1000,2,18385800,18.385800
3,100000,1000,4,20929600,20.929600
3,100000,1000,6,16798600,16.798600
3,100000,1000,8,18341000,18.341000
3,100000,2000,1,48486200,48.486200
3,100000,2000,2,38969500,38.969500
3,100000,2000,4,33835900,33.835900
3,100000,2000,6,33845700,33.845700
3,100000,2000,8,32988800,32.988800
3,125000,1000,1,35094300,35.094300
3,125000,1000,2,27889900,27.889900
3,125000,1000,4,24795100,24.795100
3,125000,1000,6,22251300,22.251300
3,125000,1000,8,20632700,20.632700
3,125000,2000,1,60720000,60.720000
3,125000,2000,2,52313900,52.313900
3,125000,2000,4,44640500,44.640500
3,125000,2000,6,44768900,44.768900
3,125000,2000,8,42528100,42.528100
3,150000,1000,1,44181200,44.181200
3,150000,1000,2,29890600,29.890600
3,150000,1000,4,28464000,28.464000
3,150000,1000,6,26412700,26.412700
3,150000,1000,8,26169600,26.169600
3,150000,2000,1,74534000,74.534000
3,150000,2000,2,56390800,56.390800
3,150000,2000,4,56788200,56.788200
3,150000,2000,6,47677900,47.677900
3,150000,2000,8,47528300,47.528300
3,175000,1000,1,52573300,52.573300
3,175000,1000,2,35255400,35.255400
3,175000,1000,4,33785400,33.785400
3,175000,1000,6,34494600,34.494600
3,175000,1000,8,29238300,29.238300
3,175000,2000,1,85573200,85.573200
3,175000,2000,2,67575000,67.575000
3,175000,2000,4,66739200,66.739200
3,175000,2000,6,63970600,63.970600
3,175000,2000,8,56166400,56.166400
3,200000,1000,1,51062100,51.062100
3,200000,1000,2,41933500,41.933500
3,200000,1000,4,36029500,36.029500
3,200000,1000,6,39473500,39.473500
3,200000,1000,8,34666800,34.666800
3,200000,2000,1,110167100,110.167100
3,200000,2000,2,79732700,79.732700
3,200000,2000,4,63810800,63.810800
3,200000,2000,6,75013700,75.013700
3,200000,2000,8,66429100,66.429100
